Date,Amount,Category
2023-03-01,$100,Groceries
2023-05-23,$5994.82,Gas
2023-03-26,$9181.60,Lawyer
2023-09-22,$1340.10,Daycare
2023-09-18,$93.58,Lawyer Fees
2023-05-27,$8080.61,Lawyer Fees
2023-06-01,$5304.70,Rent
2023-10-18,$2095.37,Gas
2023-10-03,$883.41,Lawyer Fees
2023-02-22,$223.99,Gas
2023-10-11,$8047.30,Gas
2023-03-15,$3272.28,Lawyer
2024-02-04,$2786.06,Rent
2023-03-31,$607.36,Gas
2023-01-25,$7860.27,Gas
2023-07-30,$658.97,Gas
2024-01-05,$8175.13,Daycare
2024-01-25,$6672.83,Daycare
2023-08-20,$2874.64,Lawyer
2023-09-21,$2750.25,Rent
2023-06-01,$4403.35,Lawyer
2023-02-21,$9421.88,Daycare
2023-05-19,$623.80,Lawyer
2023-12-05,$893.22,Lawyer Fees
2023-05-31,$9148.82,Lawyer Fees
2023-09-29,$8407.14,Lawyer
2023-07-28,$3504.54,Rent
2024-02-12,$7614.42,Gas
2023-02-16,$3031.35,Rent
2024-02-26,$9229.11,Rent
2023-05-03,$8289.14,Daycare
2023-07-02,$9836.93,Lawyer
2023-08-06,$3112.82,Lawyer Fees
2023-12-05,$9721.50,Gas
2023-04-28,$7526.47,Rent
2023-11-05,$3376.39,Lawyer
2023-04-11,$448.76,Lawyer
2023-02-25,$4823.67,Lawyer Fees
2023-04-24,$4210.44,Gas
2023-11-29,$3535.64,Daycare
2023-01-05,$2130.88,Daycare
2023-12-08,$6728.13,Rent
2023-05-13,$8507.43,Rent
2024-01-31,$3769.50,Lawyer
2024-02-04,$5625.31,Gas
2023-11-22,$8108.72,Rent
2024-01-16,$9857.84,Gas
2024-02-12,$6916.77,Rent
2024-02-14,$1591.27,Gas
2024-01-30,$2789.21,Gas
2023-07-10,$4448.13,Rent
2023-02-07,$3025.83,Gas
2023-12-21,$4156.25,Gas
2023-01-23,$2020.41,Gas
2023-12-01,$685.00,Gas
2023-12-31,$7044.61,Lawyer
2023-05-12,$1028.87,Rent
2023-10-14,$795.39,Lawyer
2023-08-05,$6093.55,Lawyer Fees
2023-04-17,$8943.61,Daycare
2023-01-02,$8800.78,Lawyer
2023-05-03,$4020.29,Daycare
2024-01-17,$9916.78,Gas
2023-01-12,$5961.64,Lawyer Fees
2023-05-04,$9948.88,Lawyer
2024-02-18,$9901.10,Lawyer Fees
2023-03-13,$3729.40,Rent
2023-10-16,$7267.58,Daycare
2023-02-13,$9850.86,Lawyer
2023-09-13,$2143.49,Lawyer Fees
2023-03-20,$936.90,Rent
2023-04-26,$3107.98,Lawyer
2023-05-30,$2108.28,Lawyer Fees
2023-02-01,$4220.89,Lawyer Fees
2024-01-14,$8308.81,Rent
2023-11-14,$9799.79,Gas
2024-02-08,$3542.15,Lawyer
2023-01-14,$3997.39,Rent
2023-09-07,$6888.13,Lawyer Fees
2024-02-13,$5534.79,Gas
2023-11-24,$8601.72,Rent
2023-03-04,$2807.00,Lawyer Fees
2023-06-05,$2301.38,Lawyer
2024-01-06,$4219.40,Gas
2023-04-25,$1163.90,Daycare
2023-07-28,$9757.86,Gas
2023-07-15,$3750.08,Rent
2023-06-06,$5859.28,Lawyer
2023-03-09,$5704.78,Rent
2023-12-09,$1837.53,Daycare
2023-01-28,$8788.00,Lawyer
2023-11-08,$154.46,Lawyer Fees
2023-10-29,$3650.00,Gas
2023-01-02,$2698.98,Rent
2023-07-12,$2434.80,Lawyer
2023-10-19,$9755.11,Gas
2023-07-05,$8557.93,Gas
2023-07-13,$6108.65,Rent
2023-03-01,$8693.29,Lawyer Fees
2023-07-12,$9210.20,Lawyer Fees
2023-11-23,$6761.36,Rent
